"","Date","true_closeprice","closepricehat"
"2020-04-24",532,4393.319824,4444.23985275698
"2020-04-27",533,4505.259766,4394.6322713729
"2020-04-28",534,4569.790039,4519.03069735213
"2020-04-29",535,4671.109863,4577.80000911757
"2020-04-30",536,4572.180176,4692.62734245472
"2020-05-04",537,4378.22998,4580.28839513169
"2020-05-05",538,4483.129883,4371.08577245071
"2020-05-06",539,4433.379883,4480.47463771902
"2020-05-07",540,4501.439941,4422.34489157512
"2020-05-08",541,4549.640137,4513.65013724904
"2020-05-11",542,4490.220215,4549.38094447405
"2020-05-12",543,4472.5,4487.27569960572
"2020-05-13",544,4344.950195,4475.81998636671
"2020-05-14",545,4273.129883,4339.24284871089
"2020-05-15",546,4277.629883,4270.96276279438
"2020-05-18",547,4498.339844,4274.76775478727
"2020-05-19",548,4458.160156,4547.47976804378
"2020-05-20",549,4496.97998,4472.34682837074
"2020-05-21",550,4445.450195,4521.69206959699
"2020-05-22",551,4444.560059,4447.93739623384
"2020-05-25",552,4539.910156,4441.28537276286
"2020-05-26",553,4606.240234,4561.98151181022
"2020-05-27",554,4688.740234,4612.03291056717
"2020-05-28",555,4771.390137,4694.25771108567
"2020-05-29",556,4695.439941,4786.54131551238
"2020-06-01",557,4762.779785,4698.16776747961
"2020-06-02",558,4858.970215,4769.19319584232
"2020-06-03",559,5022.379883,4863.34326072308
"2020-06-04",560,5011.97998,5044.24298493841
"2020-06-05",561,5197.790039,5027.44783154071
"2020-06-08",562,5175.52002,5229.06984505749
"2020-06-09",563,5095.109863,5193.9429304675
"2020-06-10",564,5053.419922,5116.05211572882
"2020-06-11",565,4815.600098,5056.31876321997
"2020-06-12",566,4839.259766,4810.81909488832
"2020-06-15",567,4815.720215,4834.64271742425
"2020-06-16",568,4952.459961,4806.66671558878
"2020-06-17",569,4995.970215,4962.44552665377
"2020-06-18",570,4958.75,5004.39373458937
"2020-06-19",571,4979.450195,4983.89102285519
"2020-06-22",572,4948.700195,4987.49999893074
"2020-06-23",573,5017.680176,4959.46689253681
"2020-06-24",574,4871.359863,5026.20118520213
"2020-06-25",575,4918.580078,4872.05538711393
"2020-06-26",576,4909.640137,4923.25332110528
"2020-06-29",577,4945.459961,4909.78788378119
